date,portfolio_value,daily_return,regime
2023-01-02,10000000.0,0.0,0
2023-01-03,10000000.0,0.0,0
2023-01-04,10000000.0,0.0,4
2023-01-05,9999636.165208528,-3.638347914719866e-05,3
2023-01-06,9999636.165208528,0.0,3
2023-01-09,9999636.165208528,0.0,3
2023-01-10,9999636.165208528,0.0,3
2023-01-11,9999340.45240935,-2.9572355863000977e-05,2
2023-01-12,9999340.45240935,0.0,0
2023-01-13,9999340.45240935,0.0,0
2023-01-16,9999340.45240935,0.0,0
2023-01-17,9999340.45240935,0.0,0
2023-01-18,9999340.45240935,0.0,0
2023-01-19,9999340.45240935,0.0,0
2023-01-20,9999340.45240935,0.0,0
2023-01-23,9999340.45240935,0.0,0
2023-01-24,9999340.45240935,0.0,0
2023-01-25,9999340.45240935,0.0,0
2023-01-27,9999340.45240935,0.0,0
2023-01-30,9999340.45240935,0.0,0
2023-01-31,9999340.45240935,0.0,0
2023-02-01,9999340.45240935,0.0,0
2023-02-02,9999340.45240935,0.0,0
2023-02-03,9999340.45240935,0.0,0
2023-02-06,9999340.45240935,0.0,0
2023-02-07,9999340.45240935,0.0,0
2023-02-08,9999340.45240935,0.0,0
2023-02-09,9999340.45240935,0.0,0
2023-02-10,9999340.45240935,0.0,0
2023-02-13,9529919.024667218,-0.04694523903614287,0
2023-02-14,9506702.187748747,-0.002436205056766647,0
2023-02-15,9480871.800994618,-0.002717071203452224,0
2023-02-16,9573876.009091303,0.009809668356334933,0
2023-02-17,9547914.728266547,-0.002711679240477365,0
2023-02-20,9570827.248931618,0.002399740814320444,0
2023-02-21,9614823.873818442,0.004596951103859528,0
2023-02-22,9677109.05672818,0.00647803680308111,0
2023-02-23,9613436.31044408,-0.0065797280893338484,0
2023-02-24,12416357.743724776,0.2915629066201429,0
2023-02-27,12415652.655945001,-5.6787005845633524e-05,0
2023-02-28,12415652.655945001,0.0,0
2023-03-01,12414940.642967228,-5.7348010411125874e-05,0
2023-03-02,12414940.642967228,0.0,0
2023-03-03,12414940.642967228,0.0,0
2023-03-06,11836914.07241057,-0.046558947576128475,0
2023-03-08,13635746.484042248,0.15196802144778496,0
2023-03-09,13632922.520945402,-0.0002071,0
2023-03-10,13632922.520945402,0.0,0
2023-03-13,13630116.69180944,-0.00020581273983263237,0
2023-03-14,13627652.295816531,-0.00018080520135158238,0
2023-03-15,13627652.295816531,0.0,0
2023-03-16,13627652.295816531,0.0,0
2023-03-17,13624830.009026067,-0.0002071,0
2023-03-20,13624830.009026067,0.0,0
2023-03-21,13622816.680488855,-0.00014776907571534796,0
2023-03-22,16889718.400201492,0.23981103147278085,0
2023-03-23,16887939.59660163,-0.00010531872454650212,-3
2023-03-24,16887939.59660163,0.0,0
2023-03-27,16887939.59660163,0.0,0
2023-03-28,16887939.59660163,0.0,0
2023-03-29,16887939.59660163,0.0,0
2023-03-31,16867445.409837782,-0.0012135397954627447,0
2023-04-03,16866648.02341221,-4.727369238200255e-05,0
2023-04-05,16686362.205049539,-0.01068889432639014,0
2023-04-06,16942985.07490334,0.015379198096044096,0
2023-04-10,16511904.807885356,-0.02544299396548004,0
2023-04-11,16216187.249745337,-0.017909354588744812,-4
2023-04-12,16214716.977135602,-9.066697288894705e-05,0
2023-04-13,16133747.514275905,-0.00499357854804829,-4
2023-04-17,16189839.799307829,0.003476705271499499,-3
2023-04-18,16189839.799307829,0.0,0
2023-04-19,16206288.178781092,0.0010159692546165293,0
2023-04-20,16166874.516956702,-0.0024319980855329695,0
2023-04-21,16118342.984612022,-0.0030019118595729483,0
2023-04-24,16071605.109076634,-0.0028996699958555544,0
2023-04-25,16086603.551589036,0.0009332261719105841,0
2023-04-26,16060356.163451083,-0.0016316301979953513,0
2023-04-27,16014517.501373004,-0.0028541497841993893,0
2023-04-28,16005015.335810766,-0.000593346977916965,0
2023-05-02,16015871.914007114,0.0006783235110094657,0
2023-05-03,16002096.947396377,-0.0008600822162351178,0
2023-05-04,16006698.089922383,0.00028753372393205214,0
2023-05-05,15995220.909014689,-0.0007170236386804295,0
2023-05-08,15994939.942817837,-1.7565634038477518e-05,0
2023-05-09,15991718.396978106,-0.0002014103117140257,0
2023-05-10,15998976.737286452,0.0004538811982654491,0
2023-05-11,15999551.799178235,3.5943666974755764e-05,0
2023-05-12,15999933.573941795,2.3861591146599855e-05,0
2023-05-15,16014136.434117015,0.0008876824462792072,0
